imsi | msisdn  | imei  | operatorName  | mccMnc  |   type  |  date  |  time  |   duration  |  download   |   upload   |   partyMsisbn  |  partyMccMnc
343874465539116|277579114853978|203510156931842|cellcom bee|048051|sms-mo|18/04/5958|01/47/27|419|744|868|785549241601383|999998
515278264860826|523172514417722|093713759168340|cellcom bee|048051|sms-mt|12/12/5140|10/48/14|006|953|300|380650774928543|048051
115527135665897|177949614752405|236080914472273|partner house|048053|sms-mo|10/29/9787|12/06/00|835|127|148|515780883793864|048051
421716440165107|622523418321115|658721385493114|partner house|048053|mtc|09/23/5061|10/26/28|734|433|966|297521419780593|048053
611487050349133|420144585465161|542683508834747|cellcom bee|048051|sms-mt|00/00/2869|00/45/39|104|553|580|804563575814622|048054
078008673143211|017881576302047|056877936251892|partner house|048053|sms-mo|19/09/9605|10/25/52|903|661|350|545339447343316|048053
135437793851123|680131779132641|064729491096100|orange man|048052|gprs|08/26/9199|02/06/18|221|080|287|715035825638520|999998
465519817845576|403640485033684|022793675561330|cellcom bee|048051|sms-mt|10/13/6733|11/50/01|801|350|288|488739832129756|048051
064275502642648|048907059170046|875394064248415|sergio Telecom|999998|moc|03/05/5125|10/06/29|357|202|162|640377929472941|048051
501436358684096|957224375868919|469524271059761|cellcom bee|048051|gprs|17/10/1174|00/44/43|727|513|767|909680058289937|048053
924396070546415|446248227706654|058789506583326|cellcom bee|048051|moc|18/27/1765|11/09/31|551|030|036|304751033760529|048052
690767981186707|312065018989720|781767575885486|partner house|048053|sms-mt|11/27/3725|01/28/41|029|948|535|526104515242513|048052
612926010186827|445572009572287|048462085393987|cellcom inc|048054|moc|01/05/9172|11/18/31|783|387|917|092199133754698|048052
868938477180088|300692837504192|978784621551570|sergio Telecom|999998|sms-mo|12/06/9107|03/06/37|576|284|222|716498910502798|048051
372120778392567|475884806520521|258680667619897|partner house|048053|sms-mo|13/23/4574|11/39/46|370|157|975|296283039396253|048053
753582697317884|292597536045228|993564723776465|sergio Telecom|999998|sms-mo|00/02/7692|13/45/06|936|861|708|772159176354475|048052
426029628998096|781152220874279|612314206016117|sergio Telecom|999998|gprs|11/00/2254|03/44/47|113|438|791|314643650872340|048052
841572136917203|819462232136477|573631166957608|cellcom inc|048054|moc|02/11/4947|12/26/54|542|290|721|016736910059424|999998
222976327390559|767494524695220|964172904745710|cellcom inc|048054|gprs|00/15/7912|11/41/13|552|396|135|295105916505629|999998
329894243879618|803231167864785|337218663160023|orange man|048052|moc|13/04/5958|12/53/36|149|743|021|238551487056641|048053
361186272574844|092565173421085|231461288456032|partner house|048053|mtc|06/08/3947|03/11/41|153|579|101|777831294125794|999998
256364933053292|161912408554460|097845459766305|sergio Telecom|999998|sms-mt|11/09/3537|10/04/48|300|278|825|229746550687956|048054
113943980065528|968704486083160|573077485683158|sergio Telecom|999998|mtc|01/10/6740|13/23/23|900|731|627|353501597554171|048053
955565731813563|136659358005306|093560245327705|cellcom inc|048054|mtc|02/18/9372|03/21/47|397|222|927|077992920915856|048051
998729664958808|805897929957713|324416382990872|cellcom bee|048051|sms-mo|07/02/7417|01/43/25|631|977|252|299082666030228|048053
027882191026225|647829507768186|818719928240865|cellcom inc|048054|gprs|05/03/3540|03/02/51|280|369|679|148235086534142|048052
446584742700818|156384562006168|604275879269240|partner house|048053|sms-mo|05/01/1456|13/13/20|166|130|080|336799055181844|048053
393402215545512|070861836918784|614076420174645|sergio Telecom|999998|mtc|05/22/3143|00/06/43|679|731|795|885641895348993|999998
316873868939741|726479487755668|001688187902097|cellcom bee|048051|moc|16/18/2099|12/46/45|225|441|544|554543934975868|048052
567081755022475|951614561448306|052772849641001|sergio Telecom|999998|sms-mt|19/27/6933|00/00/23|283|022|752|808819627306642|999998
445776098265420|550389908434379|635102901020564|partner house|048053|mtc|11/07/7788|00/13/58|224|577|529|995472411101001|048051
569383953925890|908370903104317|163323630942641|orange man|048052|moc|11/17/9198|12/52/34|586|349|597|752306259140054|048051
686136960840550|424042402664810|388111800804071|cellcom inc|048054|mtc|00/17/4010|01/08/27|200|094|322|250321569409633|999998
113854175509954|104438297828471|884170707450445|orange man|048052|sms-mo|05/04/2146|03/26/51|341|212|132|662220298919393|048053
400737858261493|358598096927420|380456353172241|sergio Telecom|999998|mtc|19/05/6636|11/30/22|495|291|974|733994983652019|048052
990331872280621|484578682334563|675800110438411|cellcom inc|048054|gprs|17/01/5011|01/43/59|058|928|220|681294977247358|048053
210335137252406|089475362702280|101435970915357|cellcom inc|048054|sms-mo|17/21/3266|11/53/17|131|365|914|590067052387960|048054
135870927410194|804962114493573|887596608350581|cellcom inc|048054|mtc|18/14/7080|00/45/42|330|107|283|809402586187983|048053
386739972690227|028621437516799|340113000272596|partner house|048053|mtc|01/23/0344|01/59/28|993|394|555|941458979294833|048053
423533894561039|180650749134989|251607106752975|sergio Telecom|999998|sms-mt|02/02/7334|12/51/46|190|636|609|740627615808345|048052
188908961851749|409228853971219|247139936033109|partner house|048053|sms-mo|07/01/9418|11/59/23|276|757|246|607936108494595|048053
861298883720304|102230330954642|930071859422474|sergio Telecom|999998|moc|00/12/2037|11/40/42|741|043|762|681275272594061|048053
247611018306765|547914286992154|698679772732528|orange man|048052|moc|18/10/7741|13/06/51|310|496|185|546066360367074|048053
020352393134746|203489852331308|800148599812208|sergio Telecom|999998|moc|12/24/6956|01/29/55|994|217|892|003304444033599|048052
908527140840051|286702157300192|612684310516512|cellcom inc|048054|sms-mo|05/17/3296|10/29/51|939|255|220|543377329271441|999998
601714852376522|067554105377730|092384061219061|partner house|048053|sms-mo|09/02/4765|12/37/38|018|254|014|804875267625304|048054
110123268660053|867854234979475|307321667423641|sergio Telecom|999998|mtc|14/08/2456|13/54/41|454|429|855|288829068002591|048053
676814488664136|536667645879462|020921391150585|orange man|048052|gprs|04/12/0608|13/00/32|895|014|559|216011452678671|048052
413894326991059|366379951742623|085566928517622|partner house|048053|sms-mo|07/24/0059|11/01/34|346|111|081|856770563165874|048054
870217948268587|445137802989783|561704490547595|cellcom bee|048051|mtc|03/19/6574|13/17/51|568|397|432|993490922899758|048052
952230060703169|274767611600450|565988907909537|sergio Telecom|999998|moc|06/11/3181|01/14/53|230|889|991|215753630981994|048052
803226436625733|151126756637543|524868631293889|cellcom bee|048051|mtc|19/06/0829|12/50/22|437|897|703|697696182812009|048052
891056038728329|938726838642961|262397193985710|partner house|048053|gprs|12/17/9840|12/27/17|509|254|126|503523468166767|048053
463425360093610|315850229607587|923285823822303|orange man|048052|gprs|03/13/4448|01/28/42|693|156|926|658274031395974|048052
429890105998734|604808831127113|775876998600403|sergio Telecom|999998|mtc|06/07/6554|03/14/40|898|566|337|461066344001764|048052
482463440375018|692968224436190|850209863890523|cellcom bee|048051|sms-mt|10/25/9063|12/30/29|109|713|901|177610214937562|048051
448551622114391|688590724853647|601477531945596|orange man|048052|moc|08/06/3562|11/45/26|962|999|686|677393279804543|048051
488394584662394|173666857971415|675405985562993|cellcom inc|048054|sms-mt|02/29/9087|11/42/52|568|313|564|106019642832620|048053
922300432988542|668670534368118|623153118306452|partner house|048053|mtc|01/17/0895|11/20/33|129|350|002|746129039759621|048054
234768713715153|902023272932775|000576367968676|cellcom bee|048051|sms-mt|01/04/9071|11/54/12|203|420|385|666332720132043|048051
989221564712410|198650372626861|161003471843286|cellcom bee|048051|moc|02/00/9322|02/22/08|060|872|836|419726154457899|999998
031859847142926|458396452009990|695700706633837|partner house|048053|sms-mo|07/06/2228|10/19/58|074|223|232|884811706328607|048052
188985500145396|473486102742561|789770552587216|cellcom bee|048051|mtc|07/21/4505|10/49/39|569|588|583|089217312657624|048051
758836784834335|434874386256870|166979647041786|cellcom bee|048051|gprs|04/18/2928|11/24/10|372|053|949|207983325366845|999998
616955371667811|218192619906763|635420077135836|cellcom bee|048051|sms-mo|05/20/6942|12/45/41|170|426|828|918045407488111|048052
781008241955729|937184581160293|182294310425128|partner house|048053|gprs|01/10/4169|10/20/45|178|011|954|071191605646458|048052
788496317623251|224516131999649|239181932695112|orange man|048052|sms-mt|02/09/2756|00/31/53|796|089|898|629851207356018|048053
010489287197921|550501038306434|435475393322215|partner house|048053|sms-mo|19/13/4464|12/09/26|260|837|782|518733227581131|048054
521177152020316|034089226009352|305414459671925|cellcom bee|048051|sms-mo|13/01/5609|02/10/35|608|674|018|743678308476466|048053
871351330733805|551121640018695|094149572578158|orange man|048052|sms-mt|00/07/3919|13/36/39|889|722|217|584634450489595|048052
239118292534242|938582044446161|984028047310966|cellcom bee|048051|sms-mo|15/01/3035|00/12/22|893|953|136|994051302452700|048053
135314822235010|904155470834755|778221914159850|partner house|048053|gprs|06/15/9723|12/52/10|747|642|971|493465546235464|048054
968942926115459|042427165393857|964760972786243|sergio Telecom|999998|moc|14/15/0252|12/10/55|834|493|212|991435597329860|048054
318193732163378|572129846165128|459260565973421|cellcom bee|048051|sms-mo|07/26/8257|01/04/32|876|680|487|879202692306095|048051
911300968108033|804226128627614|025167375398111|orange man|048052|mtc|12/13/4607|00/32/12|532|794|369|322653576942112|048053
541914195744778|090853441384406|773864575270647|cellcom bee|048051|sms-mo|06/06/4610|03/19/39|157|807|654|722580249017217|048051
786891592559111|854644005232451|340929309776687|cellcom bee|048051|sms-mt|19/23/7997|12/13/26|001|621|034|199908893282174|048053
878470832936560|671772585760154|143900285670228|cellcom bee|048051|sms-mt|10/26/7585|02/44/45|028|450|672|826375893470528|999998
659473238297441|577864659242960|257394637667521|orange man|048052|gprs|07/26/5603|02/28/27|762|245|384|225878649427773|048054
525591937488046|593361122640345|497968053821648|cellcom inc|048054|sms-mt|09/17/2586|11/24/57|881|980|880|075823212167045|048053
616596686665827|114938470550797|078829787366840|cellcom inc|048054|mtc|15/02/7721|02/03/26|216|197|384|796858539928156|048054
390932843794124|030818669580936|566789186555180|cellcom bee|048051|moc|18/17/9655|02/40/43|350|238|229|676756251948612|048051
633988001826946|634582064904846|309890790095691|sergio Telecom|999998|gprs|17/09/2522|12/24/42|807|825|924|789391068295617|048053
538910612404017|728311389775504|987970063225727|cellcom bee|048051|sms-mo|02/14/5080|01/09/43|205|096|718|370227848410213|999998
128741460242118|418637695208731|153940286302734|partner house|048053|moc|19/06/5233|13/03/53|604|355|778|308034731303946|999998
211703338836802|320565396812750|992062317400203|cellcom inc|048054|gprs|04/16/9314|02/36/02|344|386|102|650855413036471|048054
298724153795945|798763188435808|457429837328942|partner house|048053|mtc|01/02/1984|12/22/38|312|008|209|297351094403243|999998
554306808620519|018389375879222|379820602497548|cellcom inc|048054|moc|02/07/0085|10/55/36|951|849|067|226984558258105|999998
620417511540271|617593341711047|501745416880839|cellcom bee|048051|gprs|19/18/7230|03/32/40|657|875|429|943772885859279|048051
717795674118378|231206283164533|427318886219048|sergio Telecom|999998|sms-mo|19/04/1103|03/48/51|355|641|929|410678960473435|048054
951196872985185|795564536929577|772103900229757|cellcom bee|048051|moc|02/28/9644|10/54/11|380|211|443|596245685671043|048053
992222353610967|653010715396631|640075322803822|orange man|048052|gprs|18/20/1128|01/13/29|898|528|273|486208010223527|048052
532514366305988|374795905240967|520094422075763|partner house|048053|sms-mt|11/09/9040|03/47/13|511|911|875|705468981093715|048051
642123216504024|949319410525233|297639953613237|partner house|048053|sms-mt|01/17/0585|03/00/46|598|775|086|486646490197265|048054
879429518218092|590356848165320|619674745569590|partner house|048053|gprs|12/08/7567|13/57/02|051|349|286|355845604481275|999998
622147493324990|265010816410795|679006945377966|sergio Telecom|999998|gprs|10/14/3641|12/01/45|273|976|035|048906839267897|048051
701221830455925|263180211499518|688732015073785|sergio Telecom|999998|gprs|10/18/4186|10/46/37|713|613|133|611398821763740|048054
662645126459090|821332253938898|867243857422623|cellcom bee|048051|sms-mt|02/19/5019|01/21/19|147|911|349|625268005965153|048052
853789470526747|594972987843116|193783620704591|sergio Telecom|999998|gprs|14/19/3722|11/21/26|539|686|525|411902464491839|999998
826691769411928|349463937340101|284863931994207|cellcom inc|048054|gprs|03/21/8749|01/07/25|777|718|377|885382543942535|048051
725492366115115|190402247102657|549280738371082|partner house|048053|sms-mt|11/08/6420|02/10/47|515|929|946|995197731715915|048053
257120614608252|467587410326333|651663655137174|orange man|048052|mtc|01/13/9105|01/36/54|142|850|699|065340773384348|048052
567172557618534|710052035311871|747474659610485|sergio Telecom|999998|moc|10/03/9459|10/41/33|062|736|495|122728817113823|048051
945463638207917|262082009234257|363000665415409|orange man|048052|mtc|13/05/5375|12/30/12|807|447|545|029458785350226|048052
464644590466078|027677372842160|209885236382982|cellcom bee|048051|mtc|10/18/6351|03/24/03|247|335|119|452434530493923|048053
295719465186155|507153783396411|560054020738365|cellcom bee|048051|moc|04/20/5034|01/11/54|559|370|812|964420467448800|999998
040497325308532|699019506166969|663922666318491|partner house|048053|moc|05/27/6483|03/02/16|822|773|990|516127070956802|048053
568163550972141|877095297143957|625551007214640|sergio Telecom|999998|moc|03/25/5927|01/45/42|258|405|945|039879621471841|048054
766984724538251|280152983376248|416205699143170|cellcom inc|048054|sms-mo|11/17/2512|13/13/51|935|008|274|701991401359594|048052
697801523340008|702695217866372|744644917253475|partner house|048053|mtc|11/25/3607|01/36/18|427|064|623|847212780418588|048052
474438456818302|371603385814524|381944781384425|cellcom inc|048054|sms-mt|00/27/3629|10/58/44|089|029|586|024461235192389|048051
799320222172812|059430868952253|822956989318699|orange man|048052|gprs|01/09/7905|02/05/29|177|516|188|147769875757905|999998
503432394124155|392251039006903|175639968502917|orange man|048052|moc|02/28/9421|11/39/13|924|990|281|610747116220431|048054
706010609838048|679438746986529|299811073056052|orange man|048052|mtc|04/29/0387|12/38/14|229|347|478|067049081086075|048051
859594428367177|364506609885872|460619274200940|cellcom inc|048054|gprs|07/23/3819|00/18/39|595|311|613|547487355605715|048051
036917549810467|904604189787602|528329095978115|orange man|048052|mtc|03/25/1092|00/58/59|026|301|711|355472521051991|048052
201103933004182|649133655828910|030162458978509|orange man|048052|sms-mo|07/29/8636|12/45/25|887|309|935|731250225223706|048052
637336168073736|488740186511218|103937745563968|cellcom bee|048051|gprs|10/15/9381|12/04/51|852|811|308|680549258063876|048051
611799192322349|932671141114980|363632553706150|orange man|048052|sms-mo|17/13/3364|11/58/56|951|598|133|385435701066823|048053
042638089892371|656314037393126|140305304205743|orange man|048052|sms-mt|02/15/5398|10/18/14|275|601|954|927682402188065|048052
959389169256878|715517231319696|682642758694293|partner house|048053|gprs|09/07/4766|02/46/18|584|602|229|786271467436299|048051
356124806228410|399590250886207|734377979592555|cellcom inc|048054|moc|19/16/6690|11/22/53|450|795|684|952609396082986|048051
707244434904554|608218524709895|085801246856304|partner house|048053|mtc|16/18/0787|02/10/35|186|956|168|721225302309189|048054
529030855484569|482838132561643|415430427186532|orange man|048052|mtc|07/09/5579|13/27/40|355|421|737|828652257122013|048053
526851514619541|362126493718053|308903157738682|sergio Telecom|999998|moc|14/23/5321|03/15/31|014|394|347|441236377942166|048054
918041672208912|565793380222508|592516605825949|cellcom inc|048054|moc|19/26/9604|00/00/13|370|296|674|500469586374530|048053
927454406083568|088657135629251|465101743371947|partner house|048053|gprs|16/27/2045|11/37/45|439|082|210|547604562284830|999998
691246367690885|544249701087037|099333271950138|cellcom bee|048051|sms-mo|08/13/2620|01/48/04|126|310|664|520678583801222|048053
601143776952330|050730215237469|141455852440703|cellcom bee|048051|moc|12/11/9333|03/10/09|892|207|067|110035166279618|048051
603804024942693|035061247628238|918418823337509|orange man|048052|sms-mo|00/06/2094|10/59/25|277|571|782|540249563394251|048052
800649397465898|548800573889250|442406438396086|orange man|048052|gprs|03/08/3200|10/09/50|586|101|197|273279231284395|048053
976244857188067|250452885169477|576112899737535|cellcom bee|048051|gprs|06/04/2761|10/44/38|323|206|324|380817290747553|048052
995929450002754|036174364201076|185670837867035|partner house|048053|gprs|05/03/6772|01/06/46|418|266|284|235560140608324|048051
909540398237604|149821182892116|808983114959849|partner house|048053|gprs|15/04/5086|02/09/28|326|507|358|920860337989770|048052
195929780417209|439211771850620|762554454696648|sergio Telecom|999998|sms-mt|18/06/2589|03/19/35|425|242|908|743301885402414|048051
055899315717572|217519516218644|259931084557425|sergio Telecom|999998|sms-mo|15/14/2250|11/27/10|152|651|181|840375243887481|048053
089116501719014|174461806694295|205336988370401|partner house|048053|sms-mo|01/12/7755|10/50/48|030|283|762|555058080357029|048051
798511551020305|072242322892813|384166511646678|partner house|048053|mtc|10/17/4117|12/14/07|730|774|339|715603910951046|048053
326119389742811|648261373236594|336067198092575|sergio Telecom|999998|mtc|03/27/7703|02/39/02|956|438|031|285982733410746|048052
383690434459540|757839662294952|292871816451328|sergio Telecom|999998|mtc|10/22/0036|03/38/30|545|463|103|090540165565935|048052
438692150670239|259799056813948|504575900099213|sergio Telecom|999998|sms-mt|15/02/2715|03/15/42|219|275|126|634147217556800|048053
552975922634299|123280699155055|032222814299749|partner house|048053|sms-mt|07/11/1237|10/58/31|643|967|387|066927790802186|999998
962248536277041|029956667691777|286600656295999|partner house|048053|mtc|11/02/2010|10/06/15|599|357|553|616737043593812|048052
007576721479892|631368623319153|756423398467549|cellcom bee|048051|sms-mt|00/29/5891|01/04/07|176|633|896|266825829799812|999998
987797352853452|731756598497229|817708663941498|sergio Telecom|999998|moc|18/08/5960|12/00/00|438|736|812|388896770520341|048053
014179142726283|573569242982553|576103029512330|sergio Telecom|999998|mtc|01/01/8823|00/22/27|714|795|748|518868690708932|999998
762766135900726|454232854752886|453921564256448|sergio Telecom|999998|sms-mt|01/14/2992|03/31/49|966|615|122|465925921460386|048054
976083664399587|262188221883169|278008384026976|cellcom inc|048054|gprs|00/11/2317|02/56/17|561|261|447|754843666701077|048054
361217353407138|084047705617906|332553209879704|orange man|048052|sms-mo|11/22/3810|11/12/08|401|856|581|158052886225326|048053
308141546304684|734809895012558|010825191731491|orange man|048052|moc|02/04/7737|01/39/16|646|747|218|866260256845413|048054
040634501444289|246406874910325|040033705040488|cellcom inc|048054|mtc|01/12/7506|02/34/20|842|542|891|326026431816090|999998
643657803282688|927943504510503|287764644984364|cellcom inc|048054|moc|10/00/7343|12/06/36|848|635|281|289553812107530|999998
486062848566862|041717741858380|148946240018894|sergio Telecom|999998|gprs|09/14/8236|02/21/00|261|840|524|630426748320889|048053
520766852004518|148896734077066|430407202402853|sergio Telecom|999998|gprs|09/16/9946|02/09/38|754|268|230|659424234025489|048051
692687033078023|674219655671260|741112815422244|orange man|048052|gprs|03/02/7514|03/07/05|524|045|365|985452205670832|048054
809551977605178|376740145748790|692740159810439|orange man|048052|moc|06/02/5328|10/35/05|701|631|132|004635314589060|048053
188858011346531|537483799470430|460475379603578|partner house|048053|mtc|04/13/8987|01/47/38|205|121|884|392861604114286|048053
461383015113882|395378102218615|861911433966547|orange man|048052|moc|19/04/2623|03/49/34|202|013|337|754411110636894|048054
751371803138128|072486598356442|937066446982796|sergio Telecom|999998|gprs|11/19/5372|11/20/50|651|124|918|741637362416233|999998
155310745136197|839488743351714|749402476181991|sergio Telecom|999998|sms-mo|10/28/5384|11/53/45|664|078|094|679580496249187|048053
627105723534922|723525921261370|734464036501996|cellcom inc|048054|moc|17/16/2433|03/35/00|288|744|506|182390880524863|048054
303443437089788|082572482108183|725069622522510|sergio Telecom|999998|sms-mo|12/27/9893|03/46/38|595|747|563|911653192880926|048054
845614301157665|588332426428346|550332972000766|partner house|048053|mtc|14/05/7192|13/28/12|417|922|562|222209747429466|048051
447698602850291|733944804223801|056937997405446|cellcom bee|048051|moc|11/23/0890|01/13/01|303|862|434|859206230548446|048053
998358656191556|525943183823380|581336492221698|partner house|048053|sms-mt|02/19/4757|12/09/41|846|879|345|871460833770246|048054
257353950186834|826488211201679|197054342672267|partner house|048053|sms-mt|14/27/9853|12/32/52|113|086|549|799278128838569|048052
232643173748964|685054194122813|157413940327333|cellcom inc|048054|mtc|19/27/0913|01/15/35|647|113|474|926252275996247|999998
322986810357956|985157542639008|130340041298993|partner house|048053|mtc|18/12/1119|10/11/18|331|657|359|178081967490587|048054
806631928673563|851035014414913|394179373150737|partner house|048053|mtc|01/14/4894|11/00/19|442|384|309|276125469007167|048051
697731292842769|157582964961240|802577696070468|orange man|048052|gprs|02/01/3464|00/18/57|265|282|150|106575979103765|999998
132078718926950|066831902025982|015532503498003|partner house|048053|mtc|03/28/1422|00/36/44|667|922|267|132345597621048|048053
940639321759493|835393100723981|588861795060122|orange man|048052|moc|12/22/6457|03/28/55|620|600|239|991143860026892|999998
526091353589510|431797759806610|373092349609573|orange man|048052|gprs|11/09/1788|01/44/56|680|512|655|338101831968952|048052
596254227684311|661962823903975|834451193874505|cellcom inc|048054|moc|01/09/8018|02/55/36|266|531|264|406901715616990|048053
856705358686038|544468273081094|589459907977590|cellcom inc|048054|sms-mt|02/20/1385|02/31/35|093|097|508|756449813926979|999998
409028539402281|150529632771862|204126971912152|partner house|048053|gprs|08/24/6234|12/14/51|033|074|356|769033423105442|048053
767060499027644|305548082187742|438137476300264|cellcom inc|048054|sms-mo|02/01/7329|12/43/50|754|065|539|539715654959142|999998
751948364029278|929835411661723|511805854366403|cellcom inc|048054|sms-mt|11/24/9096|13/29/01|476|506|885|018413920442526|048053
672712692272704|924457509962588|545839298625917|sergio Telecom|999998|mtc|12/00/7792|11/25/19|536|106|498|786614347316565|999998
029194704474433|132946395602367|982091474931576|cellcom bee|048051|mtc|09/22/0303|02/25/45|377|297|334|550036247540505|048053
221779418453872|532760927480287|309788640685082|orange man|048052|mtc|05/27/2392|13/26/30|486|793|579|724727284100247|048053
332500179647756|591420804124492|547897034018994|orange man|048052|sms-mo|16/08/2781|11/02/16|334|714|884|633747503342252|048054
066892483863586|330199694957331|037938388684934|orange man|048052|sms-mo|09/00/0698|10/35/33|865|154|657|557702591510699|048054
949225752427302|170804397039849|333258055217240|sergio Telecom|999998|sms-mo|05/06/3728|12/22/39|604|266|946|159529978836037|999998
412592918714474|755276364392439|890042533526064|sergio Telecom|999998|moc|05/03/9895|03/26/44|993|025|440|616802473973847|999998
255967269705016|834656221114154|689496112205926|cellcom bee|048051|mtc|10/10/8682|10/32/28|805|821|702|429358871088921|999998
839630334424620|270540631811942|248203467809494|partner house|048053|moc|01/06/9787|02/14/37|089|461|615|550146679488358|048054
348246104576216|066104703281762|218035965334166|cellcom inc|048054|mtc|01/26/7517|10/17/48|320|602|151|717895870777844|048054
716578731956359|089084974643607|271148913030985|orange man|048052|gprs|00/29/0469|10/18/25|830|861|240|310496492698291|048051
810426404541701|211629313913127|708040602277359|sergio Telecom|999998|mtc|09/28/8371|13/48/23|050|040|768|178449130936643|048052
430735059048941|231890943889724|897880487592508|partner house|048053|mtc|02/07/0282|03/06/07|166|034|850|688186821745564|999998
708616231928993|791970911677443|233397940134143|cellcom inc|048054|gprs|02/28/1182|03/22/24|859|392|481|435688203036071|048051
756432383521811|368149344690663|240903333606989|orange man|048052|mtc|01/11/2008|00/26/42|225|826|889|717808236388564|048052
028470954742874|713514860348924|047094201785965|partner house|048053|sms-mt|10/19/1959|11/32/34|696|167|021|001096752861369|999998
133793301226452|475662416480861|894263796048685|sergio Telecom|999998|sms-mo|04/06/1107|12/13/01|190|034|891|133011084815800|048051
337547562941266|592533817844745|670327295702028|cellcom bee|048051|gprs|10/21/7045|13/27/55|141|176|341|053001709071455|048052
129865972728072|055177076169734|769845354856856|partner house|048053|sms-mt|06/06/9851|13/45/22|971|569|234|423589762572081|048053
376585853976573|098798472047258|687457933242899|orange man|048052|sms-mt|11/11/8213|02/56/37|135|119|600|258279780973225|048054
933657460350664|044313296381606|699086723770736|partner house|048053|mtc|11/09/9131|13/11/23|289|391|368|771709060273516|048052
686126275413286|277987169344051|631465082825376|cellcom bee|048051|sms-mo|02/27/0163|03/54/47|156|460|013|331627630634464|048051
504539197310815|146885618264730|900573604345326|cellcom bee|048051|moc|06/19/6162|10/31/44|485|700|458|114651814777402|999998
749309870047897|123774590588100|196227404408389|partner house|048053|gprs|09/26/8106|03/30/34|357|222|596|284585809400682|048054
142778500771346|542258079479163|277775527716060|partner house|048053|sms-mo|03/19/5496|10/48/55|600|697|364|381344971045926|048054
566258218944330|611175168103331|000725558562007|orange man|048052|sms-mo|08/23/0513|11/43/59|882|889|156|247444654971024|048054
889067258383969|306773347519733|133032859687105|orange man|048052|mtc|03/19/3428|01/11/03|464|095|333|111416774628009|048053
404970371825339|673101875616625|985372501914647|partner house|048053|moc|11/10/2722|01/28/54|025|801|546|780339166103529|048052
094697199463349|041491557852493|193572414550986|cellcom inc|048054|sms-mo|00/02/3030|02/03/24|397|425|271|781878889031539|048052
333083927664895|709579370601151|186606100967366|cellcom bee|048051|sms-mt|13/22/8514|01/24/23|974|051|014|391957096493538|048053
522922547841373|664733721345893|857361515422559|cellcom inc|048054|sms-mt|03/24/1800|13/09/44|835|318|145|974543590020253|048053
124717260287739|703268758988134|766139068388081|sergio Telecom|999998|sms-mo|15/16/9146|00/06/29|148|739|142|792773048639008|048053
844961854968173|895761911541561|967665741139179|orange man|048052|mtc|07/12/7436|12/04/59|081|787|534|746835513709067|999998
014214304278884|750587210910107|000643096513512|cellcom inc|048054|mtc|18/02/6798|12/04/43|413|719|162|946460567726917|048053
325686059195328|486866635551489|713201029930794|sergio Telecom|999998|sms-mt|13/13/4192|00/33/52|469|714|754|458142898339257|048052
515754845422918|586820829170350|103690094846030|cellcom bee|048051|sms-mt|10/27/8306|11/14/32|933|161|064|269419518593578|048052
441665173480803|262772282795465|221607315655865|sergio Telecom|999998|mtc|18/14/5280|00/51/54|968|176|159|617474667231233|048053
367953962697539|348822609030295|041736044203288|partner house|048053|mtc|11/02/1749|10/54/23|343|752|244|994172617846545|048054
309935433757127|023318025072537|889875528813748|partner house|048053|gprs|12/10/0382|02/57/20|079|879|824|337295769095835|048053
